VARIABLE1,REGISTRO,DATE,Temp
1,133,20-4-2018 10:30:19,24.13
1,134,20-4-2018 10:30:21,24.13
1,135,20-4-2018 10:30:23,24.13
1,136,20-4-2018 10:30:25,24.13
1,137,20-4-2018 10:30:27,24.13
1,138,20-4-2018 10:30:29,24.13
1,139,20-4-2018 10:30:31,-127
1,140,20-4-2018 10:30:33,24.06
1,141,20-4-2018 10:30:35,24.06
1,142,20-4-2018 10:30:37,24.06
1,143,20-4-2018 10:30:39,24.06
1,144,20-4-2018 10:30:41,24.06
1,145,20-4-2018 10:30:43,24.06
1,146,20-4-2018 10:30:45,24.06
1,147,20-4-2018 10:30:47,24.06
1,148,20-4-2018 10:30:49,-127
1,149,20-4-2018 10:30:51,24.06
1,150,20-4-2018 10:30:53,24.06
1,151,20-4-2018 10:30:55,24.06
1,152,20-4-2018 10:30:57,24.06
1,153,20-4-2018 10:30:59,24.06
1,154,20-4-2018 10:31:01,24.06
1,155,20-4-2018 10:31:03,24.06
1,156,20-4-2018 10:31:05,24.06
1,157,20-4-2018 10:31:07,24.06
1,158,20-4-2018 10:31:09,24.06
1,159,20-4-2018 10:31:11,24
1,160,20-4-2018 10:31:13,24
1,161,20-4-2018 10:31:15,24
1,162,20-4-2018 10:31:17,-127
1,163,20-4-2018 10:31:19,24
1,164,20-4-2018 10:31:21,24
1,165,20-4-2018 10:31:23,24
1,166,20-4-2018 10:31:25,24
1,167,20-4-2018 10:31:27,24
1,168,20-4-2018 10:31:29,24
1,169,20-4-2018 10:31:31,24
1,170,20-4-2018 10:31:33,24
1,171,20-4-2018 10:31:35,24
1,172,20-4-2018 10:31:37,-127
1,173,20-4-2018 10:31:39,23.94
1,174,20-4-2018 10:31:42,24
1,175,20-4-2018 10:31:44,24
1,176,20-4-2018 10:31:46,-127
1,177,20-4-2018 10:31:48,24
1,178,20-4-2018 10:31:50,24
1,179,20-4-2018 10:31:52,23.94
1,180,20-4-2018 10:31:54,24
1,181,20-4-2018 10:31:56,23.94
1,182,20-4-2018 10:31:58,23.94
1,183,20-4-2018 10:32:00,23.94
1,184,20-4-2018 10:32:02,23.94
1,185,20-4-2018 10:32:04,23.94
1,186,20-4-2018 10:32:06,23.94
1,187,20-4-2018 10:32:08,23.94
1,188,20-4-2018 10:32:10,23.94
1,189,20-4-2018 10:32:12,23.94
1,190,20-4-2018 10:32:14,23.94
1,191,20-4-2018 10:32:16,23.94
1,192,20-4-2018 10:32:18,23.94
1,193,20-4-2018 10:32:20,23.94
1,194,20-4-2018 10:32:22,23.94
1,195,20-4-2018 10:32:24,23.94
1,196,20-4-2018 10:32:26,-127
1,197,20-4-2018 10:32:28,23.94
1,198,20-4-2018 10:32:30,23.94
1,199,20-4-2018 10:32:32,23.94
1,200,20-4-2018 10:32:34,23.94
1,201,20-4-2018 10:32:36,23.94
1,202,20-4-2018 10:32:38,23.94
1,203,20-4-2018 10:32:40,23.94
1,204,20-4-2018 10:32:42,23.94
1,205,20-4-2018 10:32:44,23.94
1,206,20-4-2018 10:32:46,23.94
1,207,20-4-2018 10:32:48,23.94
1,208,20-4-2018 10:32:50,23.94
1,209,20-4-2018 10:32:52,23.94
1,210,20-4-2018 10:32:54,23.94
1,211,20-4-2018 10:32:56,23.94
1,212,20-4-2018 10:32:58,23.94
1,213,20-4-2018 10:33:00,23.94
1,214,20-4-2018 10:33:02,23.94
1,215,20-4-2018 10:33:04,23.94
1,216,20-4-2018 10:33:06,23.94
1,217,20-4-2018 10:33:08,23.94
1,218,20-4-2018 10:33:10,23.94
1,219,20-4-2018 10:33:12,23.94
1,220,20-4-2018 10:33:14,23.94
1,221,20-4-2018 10:33:16,23.94
1,222,20-4-2018 10:33:18,23.94
1,223,20-4-2018 10:33:20,-127
1,224,20-4-2018 10:33:22,23.94
1,225,20-4-2018 10:33:24,23.94
1,226,20-4-2018 10:33:26,23.94
1,227,20-4-2018 10:33:29,23.94
1,228,20-4-2018 10:33:31,23.94
1,229,20-4-2018 10:33:33,-127
1,230,20-4-2018 10:33:35,23.94
